HD3167d, 8.4112, 0.88, 0.0763, 0.019519261363636364, nan
K2-131b, 0.3693038, 0.76, 0.00936, 0.01995782894736842, 0.4
GJ9827b, 1.2089819, 0.6, 0.0188, 0.023605749999999998, 0.4602
GJ9827c, 3.648096, 0.6, 0.03925, 0.01858325, 0.4428
GJ9827d, 6.20147, 0.6, 0.0559, 0.030135, 0.8927
K2-141b, 0.2803244, 0.68, 0.00747, 0.019942279411764706, -0.01
K2-141c, 7.7485, 0.68, 0.0683, 0.09217764705882352, nan
Wolf503b, 6.00127, 0.69, 0.05712, 0.02649550724637681, 0.65
WASP-166b, 5.44354, 1.22, 0.0641, 0.05187172131147541, 0.39
GJ357b, 3.93072, 0.34, 0.035, 0.032203088235294115, 0.34
GJ357c, 9.1247, 0.34, 0.061, 0.04372529411764705, nan
GJ357d, 55.661, 0.34, 0.204, 0.06174720588235293, nan
TOI-677b, 11.2366, 1.28, 0.1038, 0.091817578125, 0.723
HATS-38b, 4.375021, 1.1, 0.05036, 0.056069363636363626, 0.476
HD86226c, 3.98442, 1.05, 0.049, 0.018463666666666666, 0.63
HD63433b, 7.10793, 0.91, 0.0719, 0.021193846153846153, 0.18
HD63433c, 20.5453, 0.91, 0.1458, 0.026271538461538457, 0.512
K2-111c, 15.6805, 1.25, 0.11569, 0.023866919999999996, nan
TOI-942b, 4.32421, 0.89, 0.04866, 0.03916421348314607, 0.05
TOI-942c, 10.156272, 0.89, 0.08598, 0.04706477528089887, 0.149
GJ367b, 0.321962, 0.46, 0.0071, 0.013975652173913044, 0.55
TOI-620b, 5.0988179, 0.55, 0.04825, 0.06118318181818182, 0.887
TOI-733b, 4.884765, 0.95, 0.0618, 0.01882115789473684, 0.29
Kepler-102e, 16.1456994, 0.72, 0.1162, 0.027065694444444448, 0.3
Kepler-107e, 14.749143, 1.45, 0.12638, 0.01794244827586207, 0.11
Kepler-68b, 5.39875259, 1.26, 0.06135, 0.016741666666666665, 0.48
Kepler-107d, 7.95839, 1.45, 0.08377, 0.005334241379310344, 0.946
Kepler-20e, 6.0984882, 0.92, 0.0637, 0.007970489130434782, 0.63
HD3167e, 96.63, 0.88, 0.3885, 0.028879375, nan
HIP99770b, 18600.0, 1.94, 16.9, 0.05643840206185567, nan
